,order_number,line_item,order_date,delivery_date,customer_key,store_key,product_key,quantity,currency_code
152,371003,5,2016-01-06,,778259,28,64,1,EUR
153,371003,6,2016-01-06,,778259,28,1997,3,EUR
154,371004,1,2016-01-06,2016-01-14,1378439,0,1305,8,USD
155,371005,1,2016-01-06,,1923558,48,58,1,USD
156,371005,2,2016-01-06,,1923558,48,32,7,USD
157,371006,1,2016-01-06,2016-01-15,1501383,0,1279,1,USD
158,371007,1,2016-01-06,2016-01-18,1378439,0,1639,1,USD
159,371008,1,2016-01-06,,2053617,50,961,1,USD
160,371008,2,2016-01-06,,2053617,50,1626,7,USD
161,371010,1,2016-01-06,,1716584,53,2491,5,USD
162,371010,2,2016-01-06,,1716584,53,1631,7,USD
163,371011,1,2016-01-06,2016-01-14,776266,0,458,5,EUR
164,371011,2,2016-01-06,2016-01-14,776266,0,1573,3,EUR
165,371011,3,2016-01-06,2016-01-14,776266,0,32,5,EUR
166,371012,1,2016-01-06,,363872,8,147,1,CAD
167,371012,2,2016-01-06,,363872,8,1576,1,CAD
168,371012,3,2016-01-06,,363872,8,1642,3,CAD
169,371014,1,2016-01-06,,1161615,40,89,4,GBP
170,371014,2,2016-01-06,,1161615,40,337,3,GBP
171,371015,1,2016-01-06,2016-01-14,1669745,0,1679,5,USD
172,371015,2,2016-01-06,2016-01-14,1669745,0,1659,1,USD
173,371015,3,2016-01-06,2016-01-14,1669745,0,1228,1,USD
174,371015,4,2016-01-06,2016-01-14,1669745,0,1458,4,USD
175,371016,1,2016-01-06,,879778,32,1704,2,EUR
176,371017,1,2016-01-06,,1918687,61,2084,5,USD
177,371017,2,2016-01-06,,1918687,61,2365,1,USD
178,371018,1,2016-01-06,,1041466,36,534,1,GBP
179,371018,2,2016-01-06,,1041466,36,1667,7,GBP
180,371018,3,2016-01-06,,1041466,36,1212,7,GBP
181,371018,4,2016-01-06,,1041466,36,2496,1,GBP
182,371018,5,2016-01-06,,1041466,36,1200,2,GBP
183,371018,6,2016-01-06,,1041466,36,1333,2,GBP
184,371018,7,2016-01-06,,1041466,36,2124,1,GBP
185,371019,1,2016-01-06,,916074,41,2506,2,GBP
186,371019,2,2016-01-06,,916074,41,1590,1,GBP
187,371019,3,2016-01-06,,916074,41,1615,2,GBP
188,371019,4,2016-01-06,,916074,41,2093,2,GBP
189,372000,1,2016-01-07,2016-01-22,1413890,0,148,3,USD
190,372000,2,2016-01-07,2016-01-22,1413890,0,1620,1,USD
191,372000,3,2016-01-07,2016-01-22,1413890,0,825,3,USD
192,372001,1,2016-01-07,,1412534,63,1286,1,USD
193,372001,2,2016-01-07,,1412534,63,1669,3,USD
194,372002,1,2016-01-07,,1718240,47,1299,7,USD
195,372003,1,2016-01-07,,527409,19,1604,3,EUR
196,372003,2,2016-01-07,,527409,19,141,4,EUR
197,372003,3,2016-01-07,,527409,19,83,2,EUR
198,372004,1,2016-01-07,,711449,30,922,9,EUR
199,372005,1,2016-01-07,,302130,9,411,3,CAD
200,372005,2,2016-01-07,,302130,9,75,4,CAD
201,372005,3,2016-01-07,,302130,9,1620,3,CAD
202,372005,4,2016-01-07,,302130,9,2366,5,CAD
203,372005,5,2016-01-07,,302130,9,1652,8,CAD
204,372005,6,2016-01-07,,302130,9,1614,8,CAD
205,372006,1,2016-01-07,2016-01-15,2095742,0,125,2,USD
206,372007,1,2016-01-07,,1982994,61,1148,4,USD
207,372008,1,2016-01-07,,1214363,53,183,1,USD
208,372008,3,2016-01-07,,1214363,53,1665,1,USD
209,372010,1,2016-01-07,,784075,29,90,7,EUR
210,372011,1,2016-01-07,,739625,29,1572,1,EUR
211,372012,1,2016-01-07,,195521,6,468,1,AUD
212,372012,2,2016-01-07,,195521,6,1560,6,AUD
213,372012,3,2016-01-07,,195521,6,1094,2,AUD
214,372012,4,2016-01-07,,195521,6,171,4,AUD
215,372012,5,2016-01-07,,195521,6,2265,2,AUD
216,372013,1,2016-01-07,,1042966,38,1259,2,GBP
217,372016,1,2016-01-07,,1170323,42,1581,2,GBP
218,372016,2,2016-01-07,,1170323,42,6,3,GBP
219,373000,1,2016-01-08,2016-01-14,1367439,0,2509,3,USD
220,373000,2,2016-01-08,2016-01-14,1367439,0,716,3,USD
221,373002,1,2016-01-08,,1750554,48,1859,5,USD
222,373003,1,2016-01-08,,2082534,56,67,3,USD
223,373004,1,2016-01-08,,460587,24,1765,3,EUR
224,373005,1,2016-01-08,,1763365,65,342,2,USD
225,373005,2,2016-01-08,,1763365,65,1073,1,USD
226,373007,1,2016-01-08,2016-01-14,351747,0,103,2,CAD
227,373007,2,2016-01-08,2016-01-14,351747,0,1455,5,CAD
228,373007,3,2016-01-08,2016-01-14,351747,0,1902,2,CAD
229,373008,1,2016-01-08,,536845,23,535,3,EUR
230,373008,2,2016-01-08,,536845,23,2089,3,EUR
231,373008,3,2016-01-08,,536845,23,1612,3,EUR
232,373008,4,2016-01-08,,536845,23,65,2,EUR
233,373009,1,2016-01-08,2016-01-19,1064519,0,1589,4,GBP
234,373010,1,2016-01-08,,538801,27,2492,6,EUR
235,373010,2,2016-01-08,,538801,27,2288,8,EUR
236,373010,3,2016-01-08,,538801,27,56,2,EUR
237,373011,1,2016-01-08,,82415,4,440,2,AUD
238,374000,1,2016-01-09,,1971983,48,737,5,USD
239,374000,2,2016-01-09,,1971983,48,1735,3,USD
240,374000,3,2016-01-09,,1971983,48,103,3,USD
241,374000,5,2016-01-09,,1971983,48,81,2,USD
242,374000,6,2016-01-09,,1971983,48,1624,1,USD
243,374001,1,2016-01-09,,2050933,47,1429,1,USD
244,374001,2,2016-01-09,,2050933,47,545,1,USD
245,374002,1,2016-01-09,,320030,8,1991,8,CAD
246,374002,2,2016-01-09,,320030,8,1667,8,CAD
247,374002,3,2016-01-09,,320030,8,2098,3,CAD
248,374002,4,2016-01-09,,320030,8,1695,1,CAD
249,374003,1,2016-01-09,,1188400,38,1606,1,GBP
250,374005,1,2016-01-09,,239647,8,1197,2,CAD
251,374006,1,2016-01-09,,1387959,65,1622,6,USD
252,374007,1,2016-01-09,,800548,31,1631,3,EUR
253,374008,1,2016-01-09,,789641,29,1217,4,EUR
254,374009,1,2016-01-09,,728541,30,538,3,EUR
255,374010,1,2016-01-09,,665776,12,1632,3,EUR
256,374010,2,2016-01-09,,665776,12,1048,1,EUR
257,374010,3,2016-01-09,,665776,12,1681,7,EUR
258,374010,4,2016-01-09,,665776,12,2104,4,EUR
259,374010,5,2016-01-09,,665776,12,1673,2,EUR
260,374010,6,2016-01-09,,665776,12,1206,2,EUR
261,374010,7,2016-01-09,,665776,12,961,5,EUR
262,374011,1,2016-01-09,,174622,5,1256,8,AUD
263,374012,1,2016-01-09,2016-01-20,1758208,0,1280,1,USD
264,374012,2,2016-01-09,2016-01-20,1758208,0,1276,1,USD
265,374012,3,2016-01-09,2016-01-20,1758208,0,2454,5,USD
266,374012,4,2016-01-09,2016-01-20,1758208,0,2108,1,USD
267,374013,1,2016-01-09,,733080,29,533,5,EUR
268,374013,2,2016-01-09,,733080,29,1067,10,EUR
269,374013,3,2016-01-09,,733080,29,1577,6,EUR
270,374015,1,2016-01-09,,1451748,55,107,7,USD
271,374016,1,2016-01-09,,1535357,45,9,5,USD
272,374017,1,2016-01-09,,1558964,63,1630,1,USD
273,374018,1,2016-01-09,,1010049,38,1615,5,GBP
274,374018,2,2016-01-09,,1010049,38,2075,2,GBP
275,374019,1,2016-01-09,,193216,6,1109,3,AUD
276,375000,1,2016-01-10,2016-01-18,1084570,0,1636,1,GBP
277,375000,2,2016-01-10,2016-01-18,1084570,0,88,7,GBP
278,375000,3,2016-01-10,2016-01-18,1084570,0,2515,1,GBP
279,376000,1,2016-01-11,,1862500,43,69,1,USD
280,376001,1,2016-01-11,,813685,32,131,1,EUR
281,376001,2,2016-01-11,,813685,32,1604,1,EUR
282,376003,1,2016-01-11,,797322,30,425,3,EUR
283,376003,2,2016-01-11,,797322,30,2112,4,EUR
284,376003,3,2016-01-11,,797322,30,1297,1,EUR
285,376003,4,2016-01-11,,797322,30,1806,2,EUR
286,376004,1,2016-01-11,,1905050,45,1635,6,USD
287,376005,1,2016-01-11,,305321,8,1352,3,CAD
288,376005,2,2016-01-11,,305321,8,2114,3,CAD
289,376005,3,2016-01-11,,305321,8,418,2,CAD
290,376005,4,2016-01-11,,305321,8,2096,3,CAD
291,377000,1,2016-01-12,,1589958,64,1625,6,USD
292,377000,2,2016-01-12,,1589958,64,1730,4,USD
293,377000,3,2016-01-12,,1589958,64,681,2,USD
294,377000,4,2016-01-12,,1589958,64,1675,7,USD
295,377000,5,2016-01-12,,1589958,64,422,2,USD
296,377002,1,2016-01-12,,1897822,50,1612,1,USD
297,377002,2,2016-01-12,,1897822,50,858,1,USD
298,377002,3,2016-01-12,,1897822,50,1595,2,USD
299,377003,1,2016-01-12,,1129200,40,1942,6,GBP
300,377004,1,2016-01-12,,1136143,42,460,4,GBP
301,377004,2,2016-01-12,,1136143,42,740,3,GBP
302,377005,1,2016-01-12,,1022980,37,1634,1,GBP
303,377006,1,2016-01-12,2016-01-20,934781,0,1432,1,GBP
304,377006,2,2016-01-12,2016-01-20,934781,0,1580,1,GBP
305,377006,3,2016-01-12,2016-01-20,934781,0,1462,1,GBP
306,377006,4,2016-01-12,2016-01-20,934781,0,1936,1,GBP
307,377006,5,2016-01-12,2016-01-20,934781,0,1007,1,GBP
308,377006,6,2016-01-12,2016-01-20,934781,0,320,1,GBP
309,377007,1,2016-01-12,,86126,6,1665,1,AUD
310,377007,2,2016-01-12,,86126,6,446,3,AUD
311,377007,3,2016-01-12,,86126,6,1176,4,AUD
312,378000,1,2016-01-13,,1062632,37,170,1,GBP
313,378000,2,2016-01-13,,1062632,37,1646,10,GBP
314,378000,3,2016-01-13,,1062632,37,1572,1,GBP
315,378001,1,2016-01-13,,1976355,66,2467,3,USD
316,378001,2,2016-01-13,,1976355,66,1696,2,USD
317,378002,1,2016-01-13,,1599716,45,1578,1,USD
318,378002,2,2016-01-13,,1599716,45,1304,1,USD
319,378003,1,2016-01-13,,774742,29,1609,1,EUR
320,378003,2,2016-01-13,,774742,29,2128,8,EUR
321,378003,3,2016-01-13,,774742,29,1649,5,EUR
322,378004,1,2016-01-13,,368190,8,2504,1,CAD
323,378004,2,2016-01-13,,368190,8,1646,7,CAD
324,378005,1,2016-01-13,,1470803,44,137,9,USD
325,378005,2,2016-01-13,,1470803,44,2090,2,USD
326,378005,3,2016-01-13,,1470803,44,2068,2,USD
327,378005,4,2016-01-13,,1470803,44,125,4,USD
328,378005,5,2016-01-13,,1470803,44,137,3,USD
329,378005,6,2016-01-13,,1470803,44,376,1,USD
330,378005,7,2016-01-13,,1470803,44,178,5,USD
331,378006,1,2016-01-13,,917347,38,1266,7,GBP
332,378006,2,2016-01-13,,917347,38,1621,2,GBP
333,378007,1,2016-01-13,,707089,30,1582,1,EUR
334,378007,2,2016-01-13,,707089,30,1634,6,EUR
335,378007,3,2016-01-13,,707089,30,424,4,EUR
336,378008,1,2016-01-13,,1035789,39,1619,2,GBP
337,378009,1,2016-01-13,,270736,8,336,3,CAD
338,378009,2,2016-01-13,,270736,8,2383,1,CAD
339,378009,3,2016-01-13,,270736,8,2248,5,CAD
340,378010,1,2016-01-13,,437389,19,145,3,EUR
341,378010,2,2016-01-13,,437389,19,2387,7,EUR
342,379000,1,2016-01-14,,1171088,39,443,4,GBP
343,379001,1,2016-01-14,,1165542,40,1253,1,GBP
344,379001,2,2016-01-14,,1165542,40,1695,8,GBP
345,379001,3,2016-01-14,,1165542,40,1038,8,GBP
346,379001,4,2016-01-14,,1165542,40,1597,1,GBP
347,379001,5,2016-01-14,,1165542,40,1589,2,GBP
348,379001,6,2016-01-14,,1165542,40,1182,5,GBP
349,379002,1,2016-01-14,2016-01-24,716015,0,106,2,EUR
350,379002,2,2016-01-14,2016-01-24,716015,0,386,2,EUR
351,379002,3,2016-01-14,2016-01-24,716015,0,1654,3,EUR
352,379004,1,2016-01-14,2016-01-27,245912,0,321,2,CAD
353,379005,1,2016-01-14,,1104029,37,1766,4,GBP
354,379005,2,2016-01-14,,1104029,37,1558,3,GBP
355,379005,3,2016-01-14,,1104029,37,1969,3,GBP
356,379005,4,2016-01-14,,1104029,37,1453,4,GBP
357,379008,1,2016-01-14,,793968,30,76,3,EUR
358,379008,2,2016-01-14,,793968,30,1648,1,EUR
359,379009,1,2016-01-14,,1556602,61,375,4,USD
360,379009,2,2016-01-14,,1556602,61,651,3,USD
361,379011,1,2016-01-14,,1291414,48,1280,3,USD
362,379011,2,2016-01-14,,1291414,48,1292,1,USD
363,379011,3,2016-01-14,,1291414,48,1620,4,USD
364,380000,1,2016-01-15,,1614172,57,1676,3,USD
365,380000,2,2016-01-15,,1614172,57,2094,5,USD
366,380001,1,2016-01-15,,1530756,66,641,3,USD
367,380001,2,2016-01-15,,1530756,66,1069,3,USD
368,380001,3,2016-01-15,,1530756,66,1687,3,USD
369,380003,1,2016-01-15,,627789,17,172,3,EUR
370,380004,1,2016-01-15,,1909649,66,1114,1,USD
371,380004,2,2016-01-15,,1909649,66,272,1,USD
372,380004,3,2016-01-15,,1909649,66,1697,2,USD
373,380005,1,2016-01-15,,770856,30,1705,2,EUR
374,380005,2,2016-01-15,,770856,30,154,7,EUR
375,380006,1,2016-01-15,,549983,27,1969,7,EUR
376,381001,1,2016-01-16,,780974,29,2397,3,EUR
377,381001,2,2016-01-16,,780974,29,2398,1,EUR
378,381002,1,2016-01-16,2016-01-26,2042097,0,1283,1,USD
379,381002,2,2016-01-16,2016-01-26,2042097,0,1345,1,USD
380,381002,3,2016-01-16,2016-01-26,2042097,0,2510,2,USD
381,381003,1,2016-01-16,,1631876,61,1619,6,USD
382,381003,2,2016-01-16,,1631876,61,2079,1,USD
383,381004,1,2016-01-16,,1914255,53,960,2,USD
384,381004,2,2016-01-16,,1914255,53,143,4,USD
385,381005,1,2016-01-16,,1803346,50,1946,10,USD
386,381006,1,2016-01-16,,1364334,64,1029,1,USD
387,381007,1,2016-01-16,,1202659,48,1246,1,USD
388,381007,2,2016-01-16,,1202659,48,97,2,USD
389,381007,3,2016-01-16,,1202659,48,1590,6,USD
390,381007,4,2016-01-16,,1202659,48,1779,7,USD
391,381008,1,2016-01-16,,982850,42,1707,2,GBP
392,381009,1,2016-01-16,,1187611,42,2086,4,GBP
393,381010,1,2016-01-16,,1554137,66,1671,3,USD
394,381010,2,2016-01-16,,1554137,66,1604,1,USD
395,381010,3,2016-01-16,,1554137,66,1836,1,USD
396,381011,1,2016-01-16,,1302333,45,450,1,USD
397,381012,1,2016-01-16,2016-01-23,2072376,0,1759,2,USD
398,381012,2,2016-01-16,2016-01-23,2072376,0,1684,7,USD
399,381013,1,2016-01-16,2016-01-21,1984685,0,1583,1,USD
400,381013,2,2016-01-16,2016-01-21,1984685,0,584,8,USD
401,383000,1,2016-01-18,,1768548,51,1623,3,USD
402,383001,1,2016-01-18,,1584109,61,994,1,USD
403,383002,1,2016-01-18,,1650783,57,1145,1,USD
404,383002,2,2016-01-18,,1650783,57,75,2,USD
405,383002,3,2016-01-18,,1650783,57,775,1,USD
406,383003,1,2016-01-18,,568160,19,959,3,EUR
407,383004,1,2016-01-18,,1670107,59,1248,3,USD
408,383004,2,2016-01-18,,1670107,59,2500,1,USD
409,383004,3,2016-01-18,,1670107,59,185,3,USD
410,384000,1,2016-01-19,,622740,17,144,5,EUR
411,384000,2,2016-01-19,,622740,17,78,4,EUR
412,384000,4,2016-01-19,,622740,17,1825,1,EUR
413,384001,1,2016-01-19,,780674,29,301,2,EUR
414,384001,2,2016-01-19,,780674,29,1695,2,EUR
415,384002,1,2016-01-19,,1263974,43,61,2,USD
416,384002,2,2016-01-19,,1263974,43,2105,1,USD
417,384003,1,2016-01-19,,1369624,64,420,4,USD
418,384004,1,2016-01-19,2016-01-28,1316297,0,1150,2,USD
419,384004,2,2016-01-19,2016-01-28,1316297,0,1578,6,USD
420,384005,1,2016-01-19,,1022895,37,1597,4,GBP
421,384006,1,2016-01-19,,247132,9,752,1,CAD
422,384006,2,2016-01-19,,247132,9,434,1,CAD
423,384006,3,2016-01-19,,247132,9,124,8,CAD
424,384006,4,2016-01-19,,247132,9,2382,1,CAD
425,384007,1,2016-01-19,,14180,6,494,3,AUD
426,384007,2,2016-01-19,,14180,6,1633,2,AUD
427,385000,1,2016-01-20,2016-01-25,1110691,0,1586,8,GBP
428,385000,2,2016-01-20,2016-01-25,1110691,0,1427,5,GBP
429,385000,3,2016-01-20,2016-01-25,1110691,0,166,3,GBP
430,385002,1,2016-01-20,,844832,31,424,2,EUR
431,385002,2,2016-01-20,,844832,31,53,2,EUR
432,385003,1,2016-01-20,,624165,18,1928,3,EUR
433,385004,1,2016-01-20,,332332,8,2162,1,CAD
434,385005,1,2016-01-20,,1251726,57,2120,3,USD
435,385006,1,2016-01-20,,724534,28,135,4,EUR
436,385006,2,2016-01-20,,724534,28,1155,1,EUR
437,385007,1,2016-01-20,,1273837,61,1112,8,USD
438,385008,1,2016-01-20,,667318,16,1195,1,EUR
439,385009,1,2016-01-20,,1720050,61,6,1,USD
440,385009,3,2016-01-20,,1720050,61,123,5,USD
441,385010,1,2016-01-20,,483118,20,61,6,EUR
442,385010,2,2016-01-20,,483118,20,1000,3,EUR
443,386000,1,2016-01-21,,748749,30,443,2,EUR
444,386000,2,2016-01-21,,748749,30,434,2,EUR
445,386000,3,2016-01-21,,748749,30,167,1,EUR
446,386000,4,2016-01-21,,748749,30,516,1,EUR
447,386001,1,2016-01-21,2016-01-30,1912666,0,1996,2,USD
448,386001,2,2016-01-21,2016-01-30,1912666,0,1577,1,USD
449,386002,1,2016-01-21,,1525000,43,581,3,USD
450,386003,1,2016-01-21,,265825,8,1646,1,CAD
451,386004,1,2016-01-21,,2085055,45,1222,3,USD
452,386005,1,2016-01-21,2016-02-02,345812,0,1600,1,CAD
453,386005,2,2016-01-21,2016-02-02,345812,0,237,1,CAD
454,386006,1,2016-01-21,,348548,10,1271,2,CAD
455,386006,2,2016-01-21,,348548,10,1585,1,CAD
456,386006,3,2016-01-21,,348548,10,1637,3,CAD
457,386006,4,2016-01-21,,348548,10,1587,1,CAD
458,386006,5,2016-01-21,,348548,10,423,1,CAD
459,386008,1,2016-01-21,,2093929,56,313,2,USD
460,386008,2,2016-01-21,,2093929,56,124,7,USD
461,386008,3,2016-01-21,,2093929,56,1634,3,USD
462,386008,4,2016-01-21,,2093929,56,448,4,USD
463,386009,1,2016-01-21,,522652,19,1859,4,EUR
464,386009,2,2016-01-21,,522652,19,156,3,EUR
465,386009,3,2016-01-21,,522652,19,1896,1,EUR
466,386009,4,2016-01-21,,522652,19,2107,3,EUR
