,date,currency,exchange
244,2015-02-18,GBP,0.6483
245,2015-02-19,USD,1.0
246,2015-02-19,CAD,1.252
247,2015-02-19,AUD,1.285
248,2015-02-19,EUR,0.8782
249,2015-02-19,GBP,0.648
250,2015-02-20,USD,1.0
251,2015-02-20,CAD,1.2456
252,2015-02-20,AUD,1.2745
253,2015-02-20,EUR,0.8851
254,2015-02-20,GBP,0.6504
255,2015-02-21,USD,1.0
256,2015-02-21,CAD,1.2456
257,2015-02-21,AUD,1.2745
258,2015-02-21,EUR,0.8851
259,2015-02-21,GBP,0.6504
260,2015-02-22,USD,1.0
261,2015-02-22,CAD,1.2456
262,2015-02-22,AUD,1.2745
263,2015-02-22,EUR,0.8851
264,2015-02-22,GBP,0.6504
265,2015-02-23,USD,1.0
266,2015-02-23,CAD,1.2618
267,2015-02-23,AUD,1.2843
268,2015-02-23,EUR,0.8851
269,2015-02-23,GBP,0.6507
270,2015-02-24,USD,1.0
271,2015-02-24,CAD,1.2643
272,2015-02-24,AUD,1.2896
273,2015-02-24,EUR,0.8828
274,2015-02-24,GBP,0.6483
275,2015-02-25,USD,1.0
276,2015-02-25,CAD,1.2441
277,2015-02-25,AUD,1.2681
278,2015-02-25,EUR,0.8814
279,2015-02-25,GBP,0.6459
280,2015-02-26,USD,1.0
281,2015-02-26,CAD,1.247
282,2015-02-26,AUD,1.2686
283,2015-02-26,EUR,0.8836
284,2015-02-26,GBP,0.6451
285,2015-02-27,USD,1.0
286,2015-02-27,CAD,1.2451
287,2015-02-27,AUD,1.2774
288,2015-02-27,EUR,0.8897
289,2015-02-27,GBP,0.6475
290,2015-02-28,USD,1.0
291,2015-02-28,CAD,1.2451
292,2015-02-28,AUD,1.2774
293,2015-02-28,EUR,0.8897
294,2015-02-28,GBP,0.6475
295,2015-03-01,USD,1.0
296,2015-03-01,CAD,1.2451
297,2015-03-01,AUD,1.2774
298,2015-03-01,EUR,0.8897
299,2015-03-01,GBP,0.6475
300,2015-03-02,USD,1.0
301,2015-03-02,CAD,1.2492
302,2015-03-02,AUD,1.2856
303,2015-03-02,EUR,0.8907
304,2015-03-02,GBP,0.6497
305,2015-03-03,USD,1.0
306,2015-03-03,CAD,1.2519
307,2015-03-03,AUD,1.2794
308,2015-03-03,EUR,0.8954
309,2015-03-03,GBP,0.6515
310,2015-03-04,USD,1.0
311,2015-03-04,CAD,1.2515
312,2015-03-04,AUD,1.2757
313,2015-03-04,EUR,0.899
314,2015-03-04,GBP,0.6526
315,2015-03-05,USD,1.0
316,2015-03-05,CAD,1.244
317,2015-03-05,AUD,1.2833
318,2015-03-05,EUR,0.9034
319,2015-03-05,GBP,0.6551
320,2015-03-06,USD,1.0
321,2015-03-06,CAD,1.2466
322,2015-03-06,AUD,1.2761
323,2015-03-06,EUR,0.9122
324,2015-03-06,GBP,0.6586
325,2015-03-07,USD,1.0
326,2015-03-07,CAD,1.2466
327,2015-03-07,AUD,1.2761
328,2015-03-07,EUR,0.9122
329,2015-03-07,GBP,0.6586
330,2015-03-08,USD,1.0
331,2015-03-08,CAD,1.2466
332,2015-03-08,AUD,1.2761
333,2015-03-08,EUR,0.9122
334,2015-03-08,GBP,0.6586
335,2015-03-09,USD,1.0
336,2015-03-09,CAD,1.2591
337,2015-03-09,AUD,1.2931
338,2015-03-09,EUR,0.9208
339,2015-03-09,GBP,0.6617
340,2015-03-10,USD,1.0
341,2015-03-10,CAD,1.2634
342,2015-03-10,AUD,1.3069
343,2015-03-10,EUR,0.9313
344,2015-03-10,GBP,0.6638
345,2015-03-11,USD,1.0
346,2015-03-11,CAD,1.2698
347,2015-03-11,AUD,1.314
348,2015-03-11,EUR,0.9454
349,2015-03-11,GBP,0.6651
350,2015-03-12,USD,1.0
351,2015-03-12,CAD,1.2656
352,2015-03-12,AUD,1.2976
353,2015-03-12,EUR,0.9422
354,2015-03-12,GBP,0.6681
355,2015-03-13,USD,1.0
356,2015-03-13,CAD,1.2734
357,2015-03-13,AUD,1.3053
358,2015-03-13,EUR,0.9459
359,2015-03-13,GBP,0.6766
360,2015-03-14,USD,1.0
361,2015-03-14,CAD,1.2734
362,2015-03-14,AUD,1.3053
363,2015-03-14,EUR,0.9459
364,2015-03-14,GBP,0.6766
365,2015-03-15,USD,1.0
366,2015-03-15,CAD,1.2734
367,2015-03-15,AUD,1.3053
368,2015-03-15,EUR,0.9459
369,2015-03-15,GBP,0.6766
370,2015-03-16,USD,1.0
371,2015-03-16,CAD,1.2781
372,2015-03-16,AUD,1.3069
373,2015-03-16,EUR,0.9472
374,2015-03-16,GBP,0.6755
375,2015-03-17,USD,1.0
376,2015-03-17,CAD,1.2774
377,2015-03-17,AUD,1.3083
378,2015-03-17,EUR,0.9403
379,2015-03-17,GBP,0.677
380,2015-03-18,USD,1.0
381,2015-03-18,CAD,1.2824
382,2015-03-18,AUD,1.3124
383,2015-03-18,EUR,0.9441
384,2015-03-18,GBP,0.6826
385,2015-03-19,USD,1.0
386,2015-03-19,CAD,1.2717
387,2015-03-19,AUD,1.308
388,2015-03-19,EUR,0.9366
389,2015-03-19,GBP,0.6728
390,2015-03-20,USD,1.0
391,2015-03-20,CAD,1.2672
392,2015-03-20,AUD,1.2981
393,2015-03-20,EUR,0.928
394,2015-03-20,GBP,0.6733
395,2015-03-21,USD,1.0
396,2015-03-21,CAD,1.2672
397,2015-03-21,AUD,1.2981
398,2015-03-21,EUR,0.928
399,2015-03-21,GBP,0.6733
400,2015-03-22,USD,1.0
401,2015-03-22,CAD,1.2672
402,2015-03-22,AUD,1.2981
403,2015-03-22,EUR,0.928
404,2015-03-22,GBP,0.6733
405,2015-03-23,USD,1.0
406,2015-03-23,CAD,1.2525
407,2015-03-23,AUD,1.2773
408,2015-03-23,EUR,0.9164
409,2015-03-23,GBP,0.6706
410,2015-03-24,USD,1.0
411,2015-03-24,CAD,1.2465
412,2015-03-24,AUD,1.2642
413,2015-03-24,EUR,0.9132
414,2015-03-24,GBP,0.6707
415,2015-03-25,USD,1.0
416,2015-03-25,CAD,1.2482
417,2015-03-25,AUD,1.2676
418,2015-03-25,EUR,0.9103
419,2015-03-25,GBP,0.6705
420,2015-03-26,USD,1.0
421,2015-03-26,CAD,1.2442
422,2015-03-26,AUD,1.2749
423,2015-03-26,EUR,0.9113
424,2015-03-26,GBP,0.6717
425,2015-03-27,USD,1.0
426,2015-03-27,CAD,1.2509
427,2015-03-27,AUD,1.2841
428,2015-03-27,EUR,0.9211
429,2015-03-27,GBP,0.6723
430,2015-03-28,USD,1.0
431,2015-03-28,CAD,1.2509
432,2015-03-28,AUD,1.2841
433,2015-03-28,EUR,0.9211
434,2015-03-28,GBP,0.6723
435,2015-03-29,USD,1.0
436,2015-03-29,CAD,1.2509
437,2015-03-29,AUD,1.2841
438,2015-03-29,EUR,0.9211
439,2015-03-29,GBP,0.6723
440,2015-03-30,USD,1.0
441,2015-03-30,CAD,1.2641
442,2015-03-30,AUD,1.3055
443,2015-03-30,EUR,0.9221
444,2015-03-30,GBP,0.6757
445,2015-03-31,USD,1.0
446,2015-03-31,CAD,1.2769
447,2015-03-31,AUD,1.3155
448,2015-03-31,EUR,0.9295
449,2015-03-31,GBP,0.676
450,2015-04-01,USD,1.0
451,2015-04-01,CAD,1.2675
452,2015-04-01,AUD,1.3159
453,2015-04-01,EUR,0.9298
454,2015-04-01,GBP,0.6774
455,2015-04-02,USD,1.0
456,2015-04-02,CAD,1.2644
457,2015-04-02,AUD,1.3244
458,2015-04-02,EUR,0.9234
459,2015-04-02,GBP,0.6755
460,2015-04-03,USD,1.0
461,2015-04-03,CAD,1.2644
462,2015-04-03,AUD,1.3244
463,2015-04-03,EUR,0.9234
464,2015-04-03,GBP,0.6755
465,2015-04-04,USD,1.0
466,2015-04-04,CAD,1.2644
467,2015-04-04,AUD,1.3244
468,2015-04-04,EUR,0.9234
469,2015-04-04,GBP,0.6755
470,2015-04-05,USD,1.0
471,2015-04-05,CAD,1.2644
472,2015-04-05,AUD,1.3244
473,2015-04-05,EUR,0.9234
474,2015-04-05,GBP,0.6755
475,2015-04-06,USD,1.0
476,2015-04-06,CAD,1.2644
477,2015-04-06,AUD,1.3244
478,2015-04-06,EUR,0.9234
479,2015-04-06,GBP,0.6755
480,2015-04-07,USD,1.0
481,2015-04-07,CAD,1.2504
482,2015-04-07,AUD,1.3084
483,2015-04-07,EUR,0.9219
484,2015-04-07,GBP,0.6717
485,2015-04-08,USD,1.0
486,2015-04-08,CAD,1.2417
487,2015-04-08,AUD,1.2961
488,2015-04-08,EUR,0.9206
489,2015-04-08,GBP,0.6688
490,2015-04-09,USD,1.0
491,2015-04-09,CAD,1.2524
492,2015-04-09,AUD,1.2949
493,2015-04-09,EUR,0.9282
494,2015-04-09,GBP,0.6746
495,2015-04-10,USD,1.0
496,2015-04-10,CAD,1.2664
497,2015-04-10,AUD,1.3079
498,2015-04-10,EUR,0.9461
499,2015-04-10,GBP,0.6853
500,2015-04-11,USD,1.0
501,2015-04-11,CAD,1.2664
502,2015-04-11,AUD,1.3079
503,2015-04-11,EUR,0.9461
504,2015-04-11,GBP,0.6853
505,2015-04-12,USD,1.0
506,2015-04-12,CAD,1.2664
507,2015-04-12,AUD,1.3079
508,2015-04-12,EUR,0.9461
509,2015-04-12,GBP,0.6853
510,2015-04-13,USD,1.0
511,2015-04-13,CAD,1.2627
512,2015-04-13,AUD,1.3197
513,2015-04-13,EUR,0.9477
514,2015-04-13,GBP,0.6838
515,2015-04-14,USD,1.0
516,2015-04-14,CAD,1.2582
517,2015-04-14,AUD,1.3192
518,2015-04-14,EUR,0.9466
519,2015-04-14,GBP,0.6832
520,2015-04-15,USD,1.0
521,2015-04-15,CAD,1.255
522,2015-04-15,AUD,1.3182
523,2015-04-15,EUR,0.9453
524,2015-04-15,GBP,0.6776
525,2015-04-16,USD,1.0
526,2015-04-16,CAD,1.2305
527,2015-04-16,AUD,1.2875
528,2015-04-16,EUR,0.9336
529,2015-04-16,GBP,0.6712
530,2015-04-17,USD,1.0
531,2015-04-17,CAD,1.2191
532,2015-04-17,AUD,1.28
533,2015-04-17,EUR,0.9247
534,2015-04-17,GBP,0.6657
535,2015-04-18,USD,1.0
536,2015-04-18,CAD,1.2191
537,2015-04-18,AUD,1.28
538,2015-04-18,EUR,0.9247
539,2015-04-18,GBP,0.6657
540,2015-04-19,USD,1.0
541,2015-04-19,CAD,1.2191
542,2015-04-19,AUD,1.28
543,2015-04-19,EUR,0.9247
544,2015-04-19,GBP,0.6657
545,2015-04-20,USD,1.0
546,2015-04-20,CAD,1.2252
547,2015-04-20,AUD,1.2891
548,2015-04-20,EUR,0.9326
549,2015-04-20,GBP,0.671
550,2015-04-21,USD,1.0
551,2015-04-21,CAD,1.2229
552,2015-04-21,AUD,1.2917
553,2015-04-21,EUR,0.9346
554,2015-04-21,GBP,0.6717
555,2015-04-22,USD,1.0
556,2015-04-22,CAD,1.2242
557,2015-04-22,AUD,1.2842
558,2015-04-22,EUR,0.9308
559,2015-04-22,GBP,0.6636
560,2015-04-23,USD,1.0
561,2015-04-23,CAD,1.2226
562,2015-04-23,AUD,1.2938
563,2015-04-23,EUR,0.9283
564,2015-04-23,GBP,0.6656
565,2015-04-24,USD,1.0
566,2015-04-24,CAD,1.2119
567,2015-04-24,AUD,1.2827
568,2015-04-24,EUR,0.9239
569,2015-04-24,GBP,0.6614
570,2015-04-25,USD,1.0
571,2015-04-25,CAD,1.2119
572,2015-04-25,AUD,1.2827
573,2015-04-25,EUR,0.9239
574,2015-04-25,GBP,0.6614
575,2015-04-26,USD,1.0
576,2015-04-26,CAD,1.2119
577,2015-04-26,AUD,1.2827
578,2015-04-26,EUR,0.9239
579,2015-04-26,GBP,0.6614
580,2015-04-27,USD,1.0
581,2015-04-27,CAD,1.2156
582,2015-04-27,AUD,1.2814
583,2015-04-27,EUR,0.924
584,2015-04-27,GBP,0.6618
585,2015-04-28,USD,1.0
586,2015-04-28,CAD,1.2069
587,2015-04-28,AUD,1.2585
588,2015-04-28,EUR,0.9152
589,2015-04-28,GBP,0.6543
590,2015-04-29,USD,1.0
591,2015-04-29,CAD,1.2054
592,2015-04-29,AUD,1.2509
593,2015-04-29,EUR,0.9089
594,2015-04-29,GBP,0.6509
595,2015-04-30,USD,1.0
596,2015-04-30,CAD,1.202
597,2015-04-30,AUD,1.2627
598,2015-04-30,EUR,0.8917
599,2015-04-30,GBP,0.648
600,2015-05-01,USD,1.0
601,2015-05-01,CAD,1.202
602,2015-05-01,AUD,1.2627
603,2015-05-01,EUR,0.8917
604,2015-05-01,GBP,0.648
605,2015-05-02,USD,1.0
606,2015-05-02,CAD,1.202
607,2015-05-02,AUD,1.2627
608,2015-05-02,EUR,0.8917
609,2015-05-02,GBP,0.648
610,2015-05-03,USD,1.0
611,2015-05-03,CAD,1.202
612,2015-05-03,AUD,1.2627
613,2015-05-03,EUR,0.8917
614,2015-05-03,GBP,0.648
615,2015-05-04,USD,1.0
616,2015-05-04,CAD,1.2116
617,2015-05-04,AUD,1.2756
618,2015-05-04,EUR,0.8967
619,2015-05-04,GBP,0.6617
620,2015-05-05,USD,1.0
621,2015-05-05,CAD,1.209
622,2015-05-05,AUD,1.27
623,2015-05-05,EUR,0.8995
624,2015-05-05,GBP,0.6611
625,2015-05-06,USD,1.0
626,2015-05-06,CAD,1.201
627,2015-05-06,AUD,1.2493
628,2015-05-06,EUR,0.8905
629,2015-05-06,GBP,0.6568
630,2015-05-07,USD,1.0
631,2015-05-07,CAD,1.207
632,2015-05-07,AUD,1.2548
633,2015-05-07,EUR,0.8846
634,2015-05-07,GBP,0.6568
635,2015-05-08,USD,1.0
636,2015-05-08,CAD,1.2103
637,2015-05-08,AUD,1.2638
638,2015-05-08,EUR,0.8912
639,2015-05-08,GBP,0.6488
640,2015-05-09,USD,1.0
641,2015-05-09,CAD,1.2103
642,2015-05-09,AUD,1.2638
643,2015-05-09,EUR,0.8912
644,2015-05-09,GBP,0.6488
645,2015-05-10,USD,1.0
646,2015-05-10,CAD,1.2103
647,2015-05-10,AUD,1.2638
648,2015-05-10,EUR,0.8912
649,2015-05-10,GBP,0.6488
650,2015-05-11,USD,1.0
651,2015-05-11,CAD,1.2114
652,2015-05-11,AUD,1.267
653,2015-05-11,EUR,0.8975
654,2015-05-11,GBP,0.6458
655,2015-05-12,USD,1.0
656,2015-05-12,CAD,1.204
657,2015-05-12,AUD,1.2519
658,2015-05-12,EUR,0.8898
659,2015-05-12,GBP,0.6374
660,2015-05-13,USD,1.0
661,2015-05-13,CAD,1.1974
662,2015-05-13,AUD,1.2428
663,2015-05-13,EUR,0.8912
664,2015-05-13,GBP,0.6393
665,2015-05-14,USD,1.0
666,2015-05-14,CAD,1.1949
667,2015-05-14,AUD,1.2336
668,2015-05-14,EUR,0.8757
669,2015-05-14,GBP,0.6332
670,2015-05-15,USD,1.0
671,2015-05-15,CAD,1.2037
672,2015-05-15,AUD,1.2499
673,2015-05-15,EUR,0.8828
674,2015-05-15,GBP,0.6366
675,2015-05-16,USD,1.0
676,2015-05-16,CAD,1.2037
677,2015-05-16,AUD,1.2499
678,2015-05-16,EUR,0.8828
679,2015-05-16,GBP,0.6366
680,2015-05-17,USD,1.0
681,2015-05-17,CAD,1.2037
682,2015-05-17,AUD,1.2499
683,2015-05-17,EUR,0.8828
684,2015-05-17,GBP,0.6366
685,2015-05-18,USD,1.0
686,2015-05-18,CAD,1.2058
687,2015-05-18,AUD,1.2493
688,2015-05-18,EUR,0.878
689,2015-05-18,GBP,0.6383
690,2015-05-19,USD,1.0
691,2015-05-19,CAD,1.2181
692,2015-05-19,AUD,1.2547
693,2015-05-19,EUR,0.8945
694,2015-05-19,GBP,0.6457
695,2015-05-20,USD,1.0
696,2015-05-20,CAD,1.2213
697,2015-05-20,AUD,1.2655
698,2015-05-20,EUR,0.8994
699,2015-05-20,GBP,0.6437
700,2015-05-21,USD,1.0
701,2015-05-21,CAD,1.2216
702,2015-05-21,AUD,1.2676
703,2015-05-21,EUR,0.8982
704,2015-05-21,GBP,0.6377
705,2015-05-22,USD,1.0
706,2015-05-22,CAD,1.22
707,2015-05-22,AUD,1.2686
708,2015-05-22,EUR,0.8957
709,2015-05-22,GBP,0.6394
710,2015-05-23,USD,1.0
711,2015-05-23,CAD,1.22
712,2015-05-23,AUD,1.2686
713,2015-05-23,EUR,0.8957
714,2015-05-23,GBP,0.6394
715,2015-05-24,USD,1.0
716,2015-05-24,CAD,1.22
717,2015-05-24,AUD,1.2686
718,2015-05-24,EUR,0.8957
719,2015-05-24,GBP,0.6394
720,2015-05-25,USD,1.0
721,2015-05-25,CAD,1.2294
722,2015-05-25,AUD,1.2774
723,2015-05-25,EUR,0.9109
724,2015-05-25,GBP,0.6467
725,2015-05-26,USD,1.0
726,2015-05-26,CAD,1.2374
727,2015-05-26,AUD,1.2832
728,2015-05-26,EUR,0.9152
729,2015-05-26,GBP,0.6495
730,2015-05-27,USD,1.0
731,2015-05-27,CAD,1.2456
732,2015-05-27,AUD,1.297
733,2015-05-27,EUR,0.9206
734,2015-05-27,GBP,0.6508
735,2015-05-28,USD,1.0
736,2015-05-28,CAD,1.2476
737,2015-05-28,AUD,1.3094
738,2015-05-28,EUR,0.9178
739,2015-05-28,GBP,0.6538
740,2015-05-29,USD,1.0
741,2015-05-29,CAD,1.2443
742,2015-05-29,AUD,1.307
743,2015-05-29,EUR,0.9116
744,2015-05-29,GBP,0.6554
745,2015-05-30,USD,1.0
746,2015-05-30,CAD,1.2443
747,2015-05-30,AUD,1.307
748,2015-05-30,EUR,0.9116
749,2015-05-30,GBP,0.6554
750,2015-05-31,USD,1.0
751,2015-05-31,CAD,1.2443
752,2015-05-31,AUD,1.307
753,2015-05-31,EUR,0.9116
754,2015-05-31,GBP,0.6554
755,2015-06-01,USD,1.0
756,2015-06-01,CAD,1.2494
757,2015-06-01,AUD,1.3104
758,2015-06-01,EUR,0.9137
759,2015-06-01,GBP,0.6572
760,2015-06-02,USD,1.0
761,2015-06-02,CAD,1.2498
762,2015-06-02,AUD,1.3004
763,2015-06-02,EUR,0.9067
764,2015-06-02,GBP,0.6567
765,2015-06-03,USD,1.0
766,2015-06-03,CAD,1.2445
767,2015-06-03,AUD,1.2862
768,2015-06-03,EUR,0.8981
769,2015-06-03,GBP,0.6534
770,2015-06-04,USD,1.0
771,2015-06-04,CAD,1.2449
772,2015-06-04,AUD,1.2917
773,2015-06-04,EUR,0.8836
774,2015-06-04,GBP,0.6498
775,2015-06-05,USD,1.0
776,2015-06-05,CAD,1.25
777,2015-06-05,AUD,1.2956
778,2015-06-05,EUR,0.8914
779,2015-06-05,GBP,0.6523
780,2015-06-06,USD,1.0
781,2015-06-06,CAD,1.25
782,2015-06-06,AUD,1.2956
783,2015-06-06,EUR,0.8914
784,2015-06-06,GBP,0.6523
785,2015-06-07,USD,1.0
786,2015-06-07,CAD,1.25
787,2015-06-07,AUD,1.2956
788,2015-06-07,EUR,0.8914
789,2015-06-07,GBP,0.6523
790,2015-06-08,USD,1.0
791,2015-06-08,CAD,1.2434
792,2015-06-08,AUD,1.3094
793,2015-06-08,EUR,0.8959
794,2015-06-08,GBP,0.6556
795,2015-06-09,USD,1.0
796,2015-06-09,CAD,1.2347
797,2015-06-09,AUD,1.2984
